Epoch,Loss,Train_AUC
1,0.19450485706329346,0.4874786281806296
2,0.17016251385211945,0.6240026484293808
3,0.14656345546245575,0.7570694626035066
4,0.13611017167568207,0.7985894599215528
5,0.12413536757230759,0.846374333702102
6,0.11452389508485794,0.875846491669181
7,0.1032579243183136,0.9082813704783936
8,0.09526429325342178,0.9303865365919072
9,0.08503982424736023,0.9496295551309129
10,0.07813101261854172,0.9621593080559188
11,0.07113559544086456,0.9749153508330819
12,0.06411442160606384,0.9800823024573402
13,0.06093616038560867,0.980639645982098
14,0.05677331984043121,0.9857395487612726
15,0.05001840367913246,0.9892009453887157
16,0.04512445256114006,0.9897457172550203
17,0.040862396359443665,0.9918535653223373
18,0.03505519777536392,0.9959728787421637
19,0.03265288472175598,0.9957926849710014
20,0.03027251549065113,0.995876496027356
21,0.02694685012102127,0.9972845217741125
22,0.024071481078863144,0.9982190150524658
23,0.02215340919792652,0.998537497066613
24,0.020479852333664894,0.9985794025947903
25,0.017170259729027748,0.9994887525562373
26,0.016144700348377228,0.9995893258238626
27,0.014158080331981182,0.9996479935633109
28,0.013676011934876442,0.9999036172851922
29,0.012758455239236355,0.9997443762781186
30,0.009805819019675255,0.9999790472359115
31,0.008408689871430397,1.0
32,0.00816355086863041,1.0
33,0.00808943435549736,0.9999874283415467
34,0.0071218181401491165,0.9999874283415467
35,0.007205110974609852,1.0
36,0.006585606839507818,1.0
37,0.0056626200675964355,0.9999958094471822
38,0.005347121506929398,1.0
39,0.004760731477290392,0.9999958094471822
40,0.004327432252466679,1.0
41,0.004121649079024792,1.0
42,0.004007766954600811,1.0
43,0.004320896230638027,1.0
44,0.0036830150056630373,1.0
45,0.0035220261197537184,1.0
46,0.0033097174018621445,1.0
47,0.0031177178025245667,1.0
48,0.0024160840548574924,1.0
49,0.0025032111443579197,1.0
50,0.002606206340715289,1.0
51,0.002515143947675824,1.0
52,0.0025125695392489433,1.0
53,0.0021358767990022898,1.0
54,0.0020990283228456974,1.0
55,0.0021365622524172068,1.0
56,0.002109111286699772,1.0
57,0.0017456511268392205,1.0
58,0.0018833322683349252,1.0
59,0.001753169926814735,1.0
60,0.0016265917802229524,1.0
61,0.0018317443318665028,1.0
62,0.0014701654436066747,1.0
63,0.0015686923870816827,1.0
64,0.0016950727440416813,1.0
65,0.0014900841051712632,1.0
66,0.0013645158614963293,1.0
67,0.0015072490787133574,1.0
68,0.0015347693115472794,1.0
69,0.0014186307089403272,1.0
70,0.0013646854786202312,1.0
71,0.0013695962261408567,1.0
72,0.0013431082479655743,1.0
73,0.0013351597590371966,1.0
74,0.0012542007025331259,1.0
75,0.0013755643740296364,1.0
76,0.0012014900567010045,1.0
77,0.0012146582594141364,1.0
78,0.0010991637827828526,1.0
79,0.001168510178104043,1.0
80,0.0012377654202282429,1.0
81,0.001042017713189125,1.0
82,0.0009694233885966241,1.0
83,0.0011848214780911803,1.0
84,0.000955222814809531,1.0
85,0.0010228805476799607,1.0
86,0.0008901024120859802,1.0
87,0.0008973722578957677,1.0
88,0.0008547897450625896,1.0
89,0.0009615198941901326,1.0
90,0.0010484097292646766,1.0
91,0.0008343399385921657,1.0
92,0.000922545965295285,1.0
93,0.0009022628073580563,1.0
94,0.0009853291558101773,1.0
95,0.0008885407005436718,1.0
96,0.000871734693646431,1.0
97,0.0008160623256117105,1.0
98,0.0008284786599688232,1.0
99,0.0007730878423899412,1.0
100,0.0008917423547245562,1.0
101,0.0007875600131228566,1.0
102,0.0006805886514484882,1.0
103,0.0006942065665498376,1.0
104,0.0007652622880414128,1.0
105,0.0008194622350856662,1.0
106,0.0007001545745879412,1.0
107,0.0007116718916222453,1.0
108,0.0006483386387117207,1.0
109,0.0006205830723047256,1.0
110,0.0008240015595220029,1.0
111,0.0007158861844800413,1.0
112,0.0006661470979452133,1.0
113,0.0006281852256506681,1.0
114,0.0006037152488715947,1.0
115,0.0007138517103157938,1.0
116,0.0006160095217637718,1.0
117,0.0007718427805230021,1.0
118,0.000615077035035938,1.0
119,0.0006069323280826211,1.0
120,0.0006822338909842074,1.0
121,0.0007074300083331764,1.0
122,0.0006926955538801849,1.0
123,0.0006030212389305234,1.0
124,0.00046382719301618636,1.0
125,0.0005222476320341229,1.0
126,0.0005871491739526391,1.0
127,0.0006014863029122353,1.0
128,0.0005458507221192122,1.0
129,0.0005111824721097946,1.0
130,0.0005077485111542046,1.0
131,0.000630756956525147,1.0
132,0.0005863537662662566,1.0
133,0.0005929525941610336,1.0
134,0.0005475799553096294,1.0
135,0.000553924823179841,1.0
136,0.0005713081918656826,1.0
137,0.0005957513931207359,1.0
138,0.0004764102923218161,1.0
139,0.00048304579104296863,1.0
140,0.00046235331683419645,1.0
141,0.0005084097501821816,1.0
142,0.0005413958569988608,1.0
143,0.00048181330203078687,1.0
144,0.0005569426575675607,1.0
145,0.0004904602537862957,1.0
146,0.0004662901919800788,1.0
147,0.00047546555288136005,1.0
148,0.000513009203132242,1.0
149,0.0004749532963614911,1.0
150,0.0004678945115301758,1.0
151,0.000516282394528389,1.0
152,0.0004766396014019847,1.0
153,0.00043663810356520116,1.0
154,0.0005120105925016105,1.0
155,0.00046942499466240406,1.0
156,0.0003519949968904257,1.0
157,0.0004485566169023514,1.0
158,0.0004505438555497676,1.0
159,0.00036260319757275283,1.0
160,0.00039063554140739143,1.0
161,0.0005415963241830468,1.0
162,0.00036265241215005517,1.0
163,0.00045747478725388646,1.0
164,0.0004178592062089592,1.0
165,0.0004792816180270165,1.0
166,0.000443444267148152,1.0
167,0.00041444829548709095,1.0
168,0.00040893672849051654,1.0
169,0.0003908782673534006,1.0
170,0.000459537171991542,1.0
171,0.00037236412754282355,1.0
172,0.000385935214580968,1.0
