hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc
256,0.0002,0.0001,0.3,1,0.5,1000,0.9926021940950396,0.0032008417947293533,0.9640957762761511,0.9648076279692205
256,0.0002,1e-05,0.5,1,0.5,700,0.9926000091766574,0.0036661013003491255,0.9573856788650976,0.9582669789227166
256,0.0002,0.0001,0.5,2,0.5,1000,0.9925941098970249,0.003929499666056881,0.9641221111459675,0.9648109735697558
256,0.0002,0.0001,0.3,1,0.75,400,0.9925803449112159,0.001748746815273258,0.9581752795254325,0.9590866510538643
128,0.0002,0.0001,0.3,1,0.75,1000,0.99257488261526,0.004375719870477383,0.9634392322146619,0.9639946470391436
512,0.0002,0.0001,0.3,1,0.5,700,0.9925523779559213,0.004070122526437773,0.9641247627870587,0.9648210103713616
512,0.0002,0.0001,0.3,1,0.75,1000,0.9925319489690463,0.0037722080711582655,0.9652499938516004,0.9656306457009034
512,0.0002,0.0001,0.3,1,0.75,400,0.9924603928920236,0.0019756797517442495,0.9539759129751527,0.9541853462696555
512,0.0002,1e-05,0.3,1,0.5,1000,0.9924585357113985,0.0025657374461167163,0.9621044997638805,0.9623586483773838
128,0.0002,0.0001,0.3,1,0.5,700,0.9923851224537505,0.003422083687176922,0.9560525760576397,0.957447306791569
512,0.0002,1e-05,0.3,2,0.5,1000,0.9923763827802212,0.0025279021626531044,0.961869248505273,0.9623619939779191
256,0.0002,0.0001,0.5,2,0.75,1000,0.9923699372709931,0.004826273536952441,0.9622109677236501,0.9631582469053195
256,0.0002,1e-05,0.3,2,0.5,1000,0.9923661136638241,0.0025413697057936153,0.9615301849207787,0.9623619939779189
128,0.0002,0.0001,0.3,2,0.5,1000,0.9923536596290445,0.003482622237959336,0.9605416327228713,0.961549013047842
256,0.0002,1e-05,0.5,1,0.75,700,0.9923506007433092,0.003654684394670989,0.9582130825676854,0.9590799598527935
256,0.0002,0.0001,0.3,2,0.5,1000,0.9923197933941177,0.003639314693254743,0.9630038383120046,0.9639879558380731
512,0.0002,0.0001,0.3,2,0.5,700,0.9923195749022795,0.00394499819190905,0.9602241276470123,0.9607259953161591
256,0.0002,1e-05,0.3,1,0.75,700,0.9923180454594117,0.00303540525651167,0.9640501264214068,0.9648009367681499
256,0.0002,1e-05,0.3,1,0.5,700,0.9923176084757355,0.003438075413352399,0.964147274524987,0.9648109735697558
512,0.0002,1e-05,0.5,2,0.75,1000,0.9923107259828308,0.003135635016122693,0.9629416513107831,0.9639879558380731
128,0.0002,0.0001,0.5,1,0.75,700,0.9923027510307353,0.004272744034363868,0.9581602175981339,0.959086651053864
128,0.0002,1e-05,0.5,1,0.5,400,0.9922235477393742,0.004463174374435684,0.9553999334479952,0.9566209434593509
512,0.0002,1e-05,0.5,1,0.75,1000,0.9922139340984918,0.0037154718643700618,0.9628421245041228,0.9631816661090665
512,0.0002,1e-05,0.3,1,0.75,700,0.9921749333053663,0.0034382526198334256,0.9596117979392659,0.9598962863834057
512,0.0002,0.0001,0.3,1,0.5,400,0.9921629162542633,0.0027749389149335744,0.9652186073087557,0.965637336901974
256,0.0002,0.0001,0.3,2,0.75,700,0.9921337475938588,0.0016287781064748296,0.9613426229022359,0.9623519571763133
512,0.0002,0.0001,0.5,2,0.5,1000,0.9921247894284908,0.0036936673970090522,0.9611074718357271,0.9615490130478422
512,0.0002,0.0001,0.3,1,0.5,1000,0.9920940913252185,0.004313274732925411,0.9642076833859032,0.9648176647708263
256,0.0002,0.0001,0.3,2,0.5,700,0.9920887382751816,0.003800340138988305,0.9622251426231084,0.9631649381063901
128,0.0002,1e-05,0.5,1,0.75,700,0.992062191516836,0.0038476721187853703,0.9613604878792662,0.9623586483773836
128,0.0002,1e-05,0.5,2,0.5,1000,0.9920477710555122,0.00301598512546135,0.9604793816260682,0.9615322850451655
128,0.0002,0.0001,0.3,2,0.5,700,0.992030947183968,0.004344478456825843,0.9664327582617037,0.9672632987621279
256,0.0002,0.0001,0.5,1,0.75,700,0.9920193671165414,0.004592326336297505,0.9624647655993821,0.9631716293074607
512,0.0002,0.0001,0.5,1,0.5,1000,0.9919868118326439,0.0035242545052895707,0.9604466842335937,0.9607293409166946
512,0.0002,0.0001,0.3,1,0.75,700,0.991985063897938,0.0031467147664717035,0.9667444288228401,0.9672632987621277
