Epoch,Loss,Accuracy,F1,AUC
1,0.05916399881243706,0.49427168576104746,0.6063694267515923,0.46255903096798734
2,0.05330222100019455,0.5229132569558101,0.6274760383386582,0.5561755165125991
3,0.04880340397357941,0.5687397708674304,0.6593406593406593,0.6230991559542592
4,0.04376509040594101,0.6088379705400983,0.6821808510638298,0.7010267303473418
5,0.04221830889582634,0.6415711947626841,0.7072192513368984,0.7267927601179682
6,0.03825497627258301,0.6685761047463176,0.7220315717227179,0.7865175010245875
7,0.03719957172870636,0.6980360065466449,0.7403237156931738,0.7985594166950158
8,0.0353488065302372,0.723404255319149,0.7592592592592593,0.8273175095962992
9,0.03288963809609413,0.7536824877250409,0.7814088598402323,0.8481655197537775
10,0.03087737411260605,0.7675941080196399,0.7874251497005988,0.8670072136311646
11,0.029120922088623047,0.7937806873977087,0.8102409638554217,0.8893633093236115
12,0.02832450158894062,0.7855973813420621,0.8003048780487805,0.8871989521082393
13,0.025958683341741562,0.8248772504091653,0.8328125,0.9116229732589379
14,0.025223644450306892,0.8265139116202946,0.8348909657320872,0.9194821614642626
15,0.023151453584432602,0.8477905073649754,0.8549141965678627,0.935219288494352
16,0.02199186012148857,0.8608837970540099,0.8646496815286624,0.9423847037803929
17,0.020942077040672302,0.8764320785597381,0.8810086682427108,0.9525046809582102
18,0.021259820088744164,0.8707037643207856,0.8736,0.9450660423603281
19,0.018635965883731842,0.8895253682487725,0.8917401764234162,0.9648666964890804
20,0.01875089854001999,0.8936170212765957,0.8944805194805194,0.9615156929291415
21,0.016456468030810356,0.9148936170212766,0.9148936170212766,0.9742795074480138
22,0.016588639467954636,0.9173486088379705,0.9176854115729421,0.9706606378960733
23,0.01570282131433487,0.9271685761047463,0.9269893355209188,0.9754634751326606
24,0.015078230760991573,0.9165302782324058,0.9165302782324058,0.9782010655709161
25,0.013531508855521679,0.9435351882160393,0.9434889434889435,0.9832342675606248
26,0.013773400336503983,0.9263502454991817,0.9270664505672609,0.9808716895111713
27,0.01268768310546875,0.9402618657937807,0.9401148482362592,0.9848816434114341
28,0.011839164420962334,0.9500818330605565,0.9493775933609958,0.9879326370603315
29,0.01163045596331358,0.9427168576104746,0.9420529801324503,0.9883371147082538
30,0.010907238349318504,0.9484451718494271,0.9484873262469338,0.9896067995103409
31,0.010259251110255718,0.9484451718494271,0.947804473902237,0.9909434508104287
32,0.009572410956025124,0.9599018003273322,0.9597370583401807,0.9934238898963628
33,0.00900985486805439,0.9648117839607201,0.9644921552436003,0.994530176443329
34,0.009057341143488884,0.9590834697217676,0.9591503267973857,0.9935899668114037
35,0.008472972549498081,0.9680851063829787,0.9678483099752679,0.9944417806659683
36,0.00836980901658535,0.9607201309328969,0.9602649006622517,0.9946935746984499
37,0.007344548590481281,0.9770867430441899,0.9770114942528736,0.997171335124464
38,0.007139022462069988,0.9770867430441899,0.9769357495881383,0.9967320348975814
39,0.006852462887763977,0.9746317512274959,0.974485596707819,0.9972891961609447
40,0.006479171104729176,0.9787234042553191,0.9785831960461285,0.9975168822541458
41,0.005721442401409149,0.986088379705401,0.9860082304526749,0.9992472965624757
42,0.005911064799875021,0.9803600654664485,0.9803600654664485,0.9980418995984689
43,0.005511113908141851,0.9844517184942717,0.9844644317252658,0.9987919243760731
44,0.005237075500190258,0.9844517184942717,0.9843363561417972,0.9988803201534336
45,0.005328024737536907,0.9852700490998363,0.9851485148514851,0.9980740435175091
46,0.004832050763070583,0.983633387888707,0.9836065573770492,0.9992312246029557
47,0.004547178279608488,0.9885433715220949,0.9885245901639345,0.999466946675917
48,0.0047626495361328125,0.983633387888707,0.9834983498349835,0.9990222891291944
49,0.004331473261117935,0.9893617021276596,0.9893004115226337,0.9991535434652752
50,0.003938091918826103,0.9950900163666121,0.9950657894736842,0.9997776712266387
51,0.0041047451086342335,0.9869067103109657,0.9868421052631579,0.9996008796719178
52,0.0036114538088440895,0.9950900163666121,0.9950900163666121,0.9997589206071986
53,0.003665970405563712,0.9885433715220949,0.9884868421052632,0.9996705248298381
54,0.0033959101419895887,0.9942716857610474,0.9942669942669943,0.999817851125439
55,0.0033274609595537186,0.9926350245499181,0.9926289926289926,0.9997508846274387
56,0.003210785798728466,0.9926350245499181,0.992616899097621,0.9997937431861589
57,0.003499983111396432,0.9885433715220949,0.9885245901639345,0.9995633784330376
58,0.003138780128210783,0.9909983633387889,0.9909762100082035,0.9997508846274386
59,0.0027982667088508606,0.9983633387888707,0.9983606557377049,0.99999464268016
60,0.0027457294054329395,0.9959083469721768,0.9959116925592805,0.9999598201011998
61,0.0026591273490339518,0.9991816693944353,0.9991823385118561,0.9999758920607199
62,0.0025312521029263735,0.9959083469721768,0.9959049959049959,0.9999142828825595
63,0.0025296241510659456,0.9959083469721768,0.9959049959049959,0.9998741029837593
64,0.0023190644569694996,0.9983633387888707,0.9983606557377049,0.99998392804048
65,0.0025876692961901426,0.9950900163666121,0.9950819672131147,0.9998982109230394
