hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc,mean_thr
512,0.001,1e-05,0.3,1,0.75,400,0.9998437499999999,0.0003124999999999822,0.9987421383647799,0.99875,-0.17484738826751708
128,0.0002,0.0001,0.3,1,0.75,400,0.9997812500000001,0.0004375000000000018,0.9987421383647799,0.99875,0.01235216761706397
512,0.001,1e-05,0.3,1,0.5,1000,0.9997812500000001,0.0004375000000000018,0.9987421383647799,0.99875,-0.2508256912231445
512,0.0002,0.0001,0.3,2,0.5,700,0.9996875,0.0006250000000000089,0.9987421383647799,0.99875,0.003998994827270508
512,0.001,1e-05,0.3,1,0.75,700,0.9996562499999999,0.0006874999999999964,0.9987421383647799,0.99875,-0.9782742857933044
512,0.0002,1e-05,0.3,2,0.5,1000,0.999625,0.0007500000000000284,0.9987421383647799,0.99875,0.5013998985290528
512,0.001,1e-05,0.3,1,0.5,400,0.9995941358024691,0.0007369954183092324,0.9974999023399352,0.9975077639751554,-0.036678272485733035
512,0.0002,0.0001,0.3,2,0.5,400,0.9995941358024691,0.0007369954183092324,0.9974999023399352,0.9975077639751554,0.7547406077384948
512,0.0002,0.0001,0.5,2,0.75,700,0.9995937500000001,0.0008124999999999716,0.9987421383647799,0.99875,1.012476995587349
512,0.0002,1e-05,0.5,2,0.5,700,0.9995937500000001,0.0008124999999999716,0.9987421383647799,0.99875,0.8834986805915832
512,0.0002,0.0001,0.3,1,0.75,1000,0.9995640432098766,0.0006119075275588575,0.9975151444997492,0.9975077639751554,0.2597330525517464
512,0.0002,1e-05,0.3,1,0.5,1000,0.9995632716049382,0.0007290029373955473,0.9975151444997492,0.9975077639751554,1.1095662355422973
512,0.0002,0.0001,0.3,2,0.75,400,0.9995628858024691,0.0007993056263176405,0.9974999023399352,0.9975077639751554,0.5188152313232421
512,0.0002,1e-05,0.3,2,0.75,700,0.9995625,0.0008750000000000036,0.9987421383647799,0.99875,0.5246352314949035
512,0.0002,1e-05,0.3,2,0.75,1000,0.9995316358024692,0.0008616433263928928,0.9974999023399352,0.9975077639751554,0.22904319763183595
