Epoch,Loss,Train_AUC,Train_F1,Train_Acc,Val_AUC,Val_F1,Val_Acc,Test_AUC,Test_F1,Test_Acc
315,3.9e-05,1.0,1.0,1.0,0.801,0.7059,0.6939,0.862,0.8411,0.8381
320,6.5e-05,1.0,1.0,1.0,0.8512,0.7407,0.7143,0.866,0.8,0.7905
325,9.5e-05,1.0,1.0,1.0,0.7659,0.7407,0.7143,0.8115,0.7339,0.7238
330,0.000174,1.0,1.0,1.0,0.8211,0.7451,0.7347,0.8548,0.7379,0.7429
335,0.000124,1.0,1.0,1.0,0.8161,0.7843,0.7755,0.8381,0.7273,0.7143
340,3.9e-05,1.0,1.0,1.0,0.801,0.7273,0.6939,0.8261,0.7679,0.7524
345,3.3e-05,1.0,1.0,1.0,0.811,0.7059,0.6939,0.8424,0.7593,0.7524
350,6.6e-05,1.0,1.0,1.0,0.7542,0.6786,0.6327,0.8769,0.7788,0.7619
355,8.7e-05,1.0,1.0,1.0,0.8311,0.7451,0.7347,0.8341,0.7523,0.7429
360,0.000119,1.0,1.0,1.0,0.7659,0.6792,0.6531,0.8134,0.717,0.7143
365,7.1e-05,1.0,1.0,1.0,0.7559,0.6667,0.6327,0.8613,0.729,0.7238
370,4.9e-05,1.0,1.0,1.0,0.8528,0.7692,0.7551,0.8511,0.7778,0.7714
375,4.5e-05,1.0,1.0,1.0,0.8244,0.7037,0.6735,0.8526,0.8073,0.8
380,3.3e-05,1.0,1.0,1.0,0.8077,0.7059,0.6939,0.8544,0.75,0.7524
385,3.6e-05,1.0,1.0,1.0,0.7809,0.7143,0.6735,0.8195,0.7387,0.7238
390,4.3e-05,1.0,1.0,1.0,0.8144,0.7143,0.6735,0.817,0.7358,0.7333
395,5.4e-05,1.0,1.0,1.0,0.7876,0.7018,0.6531,0.8646,0.8491,0.8476
400,0.000125,1.0,1.0,1.0,0.806,0.7407,0.7143,0.8206,0.7523,0.7429
405,0.000422,1.0,1.0,1.0,0.7893,0.7037,0.6735,0.8704,0.789,0.781
410,2.7e-05,1.0,1.0,1.0,0.8227,0.7059,0.6939,0.8548,0.7895,0.7714
415,6.7e-05,1.0,1.0,1.0,0.8662,0.7451,0.7347,0.8508,0.7593,0.7524
420,4.6e-05,1.0,1.0,1.0,0.8227,0.7451,0.7347,0.8115,0.7387,0.7238
425,8.6e-05,1.0,1.0,1.0,0.8294,0.7636,0.7347,0.8359,0.7523,0.7429
430,2.2e-05,1.0,1.0,1.0,0.7993,0.7547,0.7347,0.8428,0.7706,0.7619
435,6.7e-05,1.0,1.0,1.0,0.811,0.7451,0.7347,0.8475,0.7619,0.7619
440,5.6e-05,1.0,1.0,1.0,0.8344,0.7843,0.7755,0.8119,0.7636,0.7524
