hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_val_AUC,std_val_AUC
128,0.001,1e-05,0.3,1.0,0.75,400,0.8921404682274247,0.021366330375739536
512,0.0002,1e-05,0.3,2.0,0.5,400,0.8921070234113714,0.02702492627960145
128,0.001,1e-05,0.5,1.0,0.5,1000,0.8916566332218506,0.031082039439064273
128,0.0002,0.0001,0.5,2.0,0.75,1000,0.8916544035674472,0.01784008282732621
512,0.0002,1e-05,0.5,1.0,0.75,700,0.8916465997770345,0.02473402210382403
256,0.001,1e-05,0.3,2.0,0.75,700,0.8916387959866221,0.036565399558489434
128,0.001,1e-05,0.5,2.0,0.75,700,0.8914972129319956,0.022228823467181195
256,0.001,1e-05,0.5,2.0,0.75,400,0.8914325529542921,0.017088014472876032
512,0.001,1e-05,0.5,2.0,0.5,700,0.8913612040133779,0.030928144233101328
256,0.0002,0.0001,0.5,1.0,0.75,700,0.8912686733556298,0.03074535644956688
512,0.0002,1e-05,0.3,1.0,0.5,1000,0.8912118171683389,0.025549709822707375
128,0.001,0.0001,0.3,1.0,0.5,700,0.8909308807134894,0.030086312436523897
512,0.001,1e-05,0.3,2.0,0.5,400,0.8909063545150502,0.007352330276084964
256,0.0002,1e-05,0.5,1.0,0.5,1000,0.8907380156075808,0.020304434040921377
256,0.0002,0.0001,0.5,1.0,0.5,1000,0.8907268673355629,0.017184814735501677
256,0.0002,1e-05,0.5,1.0,0.5,700,0.8907101449275363,0.015431945195197878
512,0.001,1e-05,0.5,1.0,0.5,400,0.8905585284280937,0.02427804336220818
128,0.001,0.0001,0.5,1.0,0.5,400,0.8903779264214047,0.03458933424484887
256,0.0002,1e-05,0.5,2.0,0.5,400,0.8898238573021182,0.019421923820946107
128,0.001,0.0001,0.3,2.0,0.75,1000,0.8897982162764771,0.011062050300344996
256,0.001,0.0001,0.5,2.0,0.75,700,0.8896153846153846,0.02888196625500833
256,0.0002,0.0001,0.3,1.0,0.5,700,0.889598662207358,0.02766367180747049
128,0.0002,0.0001,0.3,2.0,0.75,1000,0.8895484949832776,0.013481012155648477
256,0.001,1e-05,0.5,1.0,0.75,1000,0.8895384615384614,0.029662353482950266
512,0.0002,0.0001,0.5,1.0,0.5,1000,0.8891259754738016,0.012323341641518853
256,0.0002,0.0001,0.5,2.0,0.75,400,0.8891103678929767,0.013448748618329264
512,0.001,0.0001,0.5,2.0,0.75,700,0.8890501672240803,0.014284020216077352
128,0.001,1e-05,0.5,1.0,0.75,700,0.8889933110367891,0.017341020695403275
256,0.001,1e-05,0.3,1.0,0.5,1000,0.8889175027870682,0.018125731477288937
128,0.0002,0.0001,0.5,1.0,0.5,700,0.8889030100334449,0.024402662785435687
512,0.001,0.0001,0.3,2.0,0.5,400,0.8888227424749164,0.020426125933027128
128,0.001,0.0001,0.3,1.0,0.75,400,0.8887235228539577,0.02484096485839329
256,0.001,1e-05,0.5,2.0,0.5,1000,0.8887224080267557,0.017660239254154435
128,0.001,1e-05,0.3,1.0,0.5,1000,0.8886131549609809,0.02725572406522338
128,0.001,1e-05,0.5,1.0,0.5,700,0.8885228539576365,0.02081114738338568
512,0.0002,1e-05,0.3,1.0,0.75,400,0.8884916387959867,0.01796021761968975
512,0.0002,1e-05,0.5,1.0,0.75,1000,0.8884827201783724,0.013654169641054877
128,0.001,0.0001,0.5,2.0,0.5,1000,0.8884804905239688,0.025429334470819406
256,0.0002,0.0001,0.3,1.0,0.75,400,0.8883467112597547,0.02733937359433784
256,0.0002,0.0001,0.3,1.0,0.75,1000,0.888221850613155,0.01715416316699673
128,0.0002,1e-05,0.5,2.0,0.75,400,0.888082497212932,0.01936941730948806
128,0.001,1e-05,0.3,2.0,0.5,400,0.8878160535117058,0.02228180293083404
512,0.001,0.0001,0.5,1.0,0.75,1000,0.8877190635451505,0.024474870635010606
256,0.001,1e-05,0.5,1.0,0.5,1000,0.8876254180602008,0.022904463050436794
128,0.001,0.0001,0.3,1.0,0.75,700,0.88738127090301,0.01792325565373474
128,0.001,1e-05,0.3,2.0,0.75,1000,0.887335562987737,0.022075051750893762
512,0.0002,1e-05,0.5,2.0,0.5,1000,0.88726867335563,0.01595888748520208
512,0.0002,0.0001,0.3,2.0,0.75,400,0.887221850613155,0.030075971931926435
256,0.0002,1e-05,0.3,1.0,0.5,1000,0.8871716833890746,0.016234903458129616
512,0.001,1e-05,0.5,2.0,0.5,400,0.8870044593088071,0.020024187688309422
512,0.0002,1e-05,0.5,2.0,0.75,400,0.8868227424749164,0.025825780985990036
128,0.0002,0.0001,0.3,2.0,0.5,1000,0.886788182831661,0.019167000860643907
512,0.0002,1e-05,0.3,1.0,0.5,700,0.8866276477146042,0.013140455506263197
128,0.001,1e-05,0.3,1.0,0.5,700,0.886567447045708,0.021466909037564753
256,0.0002,1e-05,0.5,2.0,0.5,700,0.8865629877369008,0.02857035112628401
512,0.001,1e-05,0.5,2.0,0.5,1000,0.8864604236343366,0.0211795287258018
