Metric,Mean,Std
AUC,0.8563907044299202,0.015965983395572887
F1,0.7628685211382318,0.025641316067456645
Accuracy,0.7571428716182709,0.019179436910141127
Precision,0.765731817483902,0.023935168105569005
Recall,0.7629629611968994,0.05576095194957745
