Seed,AUC,F1,Accuracy,Precision,Recall,Stopped_Epoch,Best_Val_AUC,Best_Epoch
42,0.8809005083514888,0.8000000049248398,0.7809523940086365,0.7540983557701111,0.8518518805503845,250,0.862876254180602,50
84,0.8714596949891067,0.7706421967148798,0.761904776096344,0.7636363506317139,0.7777777910232544,230,0.8913043478260869,30
64,0.8572984749455338,0.7547169701500495,0.7523809671401978,0.7692307829856873,0.7407407164573669,405,0.8377926421404682,205
112,0.8587509077705157,0.7777777860232544,0.7714285850524902,0.7777777910232544,0.7777777910232544,495,0.81438127090301,295
44,0.8518518518518519,0.7619047501293217,0.761904776096344,0.7843137383460999,0.7407407164573669,235,0.9247491638795987,35
128,0.8634713144517066,0.7747747619994911,0.761904776096344,0.7543859481811523,0.7962962985038757,225,0.8846153846153847,25
256,0.8438634713144517,0.7454545565740824,0.7333333492279053,0.7321428656578064,0.7592592835426331,245,0.8478260869565217,45
68,0.8242556281771968,0.7216494503713646,0.7428571581840515,0.8139534592628479,0.6481481194496155,205,0.8678929765886287,5
52,0.8460421205519244,0.7289719635626255,0.723809540271759,0.7358490824699402,0.7222222089767456,260,0.911371237458194,60
100,0.8660130718954249,0.7927927709324087,0.7809523940086365,0.7719298005104065,0.8148148059844971,390,0.8394648829431438,190
