Epoch,Loss,Train_AUC,Train_F1,Train_ACC,Train_THR
1,0.2688857614994049,0.5343137254901961,0.7096774193548387,0.578125,0.26
2,0.24326813220977783,0.6980392156862745,0.7209302325581395,0.625,0.33
3,0.2085343450307846,0.8480392156862745,0.8533333333333334,0.828125,0.33999999999999997
4,0.18813063204288483,0.8911764705882353,0.8235294117647058,0.8125,0.43000000000000005
5,0.17517594993114471,0.9068627450980393,0.8918918918918919,0.875,0.38
6,0.1644282042980194,0.9156862745098039,0.8648648648648649,0.84375,0.37
7,0.14388249814510345,0.9529411764705883,0.9142857142857143,0.90625,0.43000000000000005
8,0.11135474592447281,0.9921568627450981,0.9577464788732394,0.953125,0.38
9,0.12182799726724625,0.988235294117647,0.9565217391304348,0.953125,0.45000000000000007
10,0.111905038356781,0.9725490196078431,0.9577464788732394,0.953125,0.43000000000000005
11,0.11466893553733826,0.9745098039215687,0.9444444444444444,0.9375,0.45000000000000007
12,0.09643559902906418,0.9921568627450981,0.9565217391304348,0.953125,0.5
13,0.08565334230661392,0.9990196078431373,0.9855072463768116,0.984375,0.45000000000000007
14,0.08573669195175171,1.0,1.0,1.0,0.54
15,0.068067267537117,0.9990196078431373,0.9855072463768116,0.984375,0.42000000000000004
16,0.06576765328645706,1.0,1.0,1.0,0.5
17,0.05374296382069588,1.0,1.0,1.0,0.45000000000000007
18,0.05308154970407486,1.0,1.0,1.0,0.33999999999999997
19,0.052548643201589584,1.0,1.0,1.0,0.53
20,0.04456756263971329,1.0,1.0,1.0,0.41000000000000003
21,0.03866218402981758,1.0,1.0,1.0,0.35
22,0.039247214794158936,1.0,1.0,1.0,0.28
23,0.038250625133514404,1.0,1.0,1.0,0.5700000000000001
24,0.03492597118020058,1.0,1.0,1.0,0.29000000000000004
