hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc
128,0.0002,0.0001,0.4,1.0,0.5,600,0.699845513963161,0.04614924875400998,0.7437321937321937,0.6621693121693122
256,0.001,0.0001,0.6,0.5,0.75,600,0.6998336304218655,0.09992881392740448,0.7597493734335838,0.6621693121693122
64,0.001,0.0001,0.6,0.5,0.5,200,0.699827688651218,0.06902248454955466,0.76723044397463,0.6476190476190476
256,0.001,0.001,0.6,1.0,0.5,400,0.6996553773024361,0.08601841587516143,0.770797272488854,0.6904761904761905
128,0.001,0.001,0.6,0.5,0.5,400,0.699281045751634,0.03290528980585169,0.7469365000324754,0.6616402116402117
256,0.0002,0.001,0.6,0.5,0.75,400,0.6991206179441474,0.06974225933710484,0.7539308539308539,0.6984126984126984
256,0.0002,0.001,0.4,1.0,0.75,200,0.6990255496137849,0.07893267475213554,0.7564424735156443,0.6402116402116402
128,0.001,0.001,0.6,1.0,0.75,200,0.6979797979797979,0.11601911773678075,0.7748858311787373,0.6550264550264551
256,0.0002,0.001,0.6,1.0,0.75,400,0.6975638740344623,0.08976150144430092,0.7653279595384859,0.6698412698412699
64,0.001,0.0001,0.6,1.0,0.75,600,0.697433155080214,0.12418692065121441,0.7889065409423495,0.6759259259259259
256,0.001,0.001,0.4,0.5,0.5,200,0.6972964943553179,0.06159286570053911,0.7033858441300301,0.6116402116402118
256,0.0002,0.001,0.6,1.0,0.5,200,0.6972549019607843,0.09800230061777152,0.7766842913184376,0.6687830687830688
128,0.001,0.001,0.6,0.5,0.5,600,0.6972311348781937,0.07943538578851399,0.7527743601427812,0.6330687830687831
128,0.001,0.0001,0.4,1.0,0.5,400,0.6970528817587642,0.111150933538223,0.7347715367070207,0.6330687830687831
256,0.001,0.001,0.6,1.0,0.5,200,0.6969340463458111,0.08003167258235967,0.7338528138528139,0.625925925925926
128,0.001,0.001,0.6,1.0,0.75,400,0.6960249554367202,0.10910858151451149,0.7722155726439691,0.6687830687830688
64,0.001,0.001,0.6,0.5,0.5,200,0.6960190136660726,0.06061054589440108,0.7869244462773279,0.683068783068783
128,0.0002,0.001,0.6,1.0,0.75,600,0.6959417706476531,0.05805736785245273,0.7721783047870003,0.6478835978835978
256,0.0002,0.0001,0.4,0.5,0.75,400,0.6955971479500892,0.07759887952314135,0.686281121572744,0.5965608465608466
128,0.001,0.001,0.4,1.0,0.5,200,0.6946345811051694,0.07454285444265246,0.7300875505526668,0.6185185185185185
256,0.0002,0.0001,0.6,0.5,0.5,400,0.6936957813428402,0.06613152400166733,0.7877777777777779,0.7126984126984126
64,0.001,0.001,0.6,1.0,0.75,600,0.6934046345811051,0.08370452186126852,0.7706138306138305,0.6478835978835978
64,0.001,0.0001,0.6,0.5,0.75,400,0.6933808674985146,0.055342222127420224,0.7745988529652739,0.6476190476190475
64,0.001,0.0001,0.4,0.5,0.75,200,0.6925727866904337,0.06336462010151496,0.7543314580156686,0.6687830687830688
128,0.001,0.001,0.4,1.0,0.5,600,0.6922756981580511,0.07542595155270741,0.7247728573345272,0.6330687830687831
64,0.0002,0.001,0.6,1.0,0.75,400,0.6921628045157456,0.1090286004399295,0.7644005270092226,0.6187830687830688
64,0.001,0.001,0.6,1.0,0.5,400,0.6916696375519904,0.09335849811322039,0.7503097173828881,0.6264550264550264
256,0.001,0.0001,0.4,1.0,0.75,600,0.6911348781937017,0.03914043086185637,0.7608002808002808,0.6687830687830688
