Epoch,Loss,Train_AUC,Train_F1,Train_ACC,Train_THR
1,0.27043500542640686,0.47843137254901963,0.6938775510204082,0.53125,0.1
2,0.2387816309928894,0.6019607843137255,0.7083333333333334,0.5625,0.33
3,0.1986866444349289,0.7872549019607843,0.7948717948717948,0.75,0.49
4,0.1835242509841919,0.8607843137254902,0.8051948051948052,0.765625,0.47
5,0.1788395792245865,0.8794117647058823,0.8253968253968254,0.828125,0.59
6,0.1592593640089035,0.9441176470588235,0.9117647058823529,0.90625,0.52
7,0.13953951001167297,0.9666666666666667,0.9142857142857143,0.90625,0.5
8,0.13146397471427917,0.9686274509803923,0.9014084507042254,0.890625,0.49
9,0.12344962358474731,0.9794117647058824,0.9428571428571428,0.9375,0.47
10,0.12395977973937988,0.9607843137254902,0.9166666666666666,0.90625,0.4
11,0.12289401143789291,0.9774509803921568,0.9295774647887324,0.921875,0.47
12,0.09968951344490051,0.9931372549019608,0.9714285714285714,0.96875,0.44000000000000006
13,0.09384371340274811,0.9950980392156863,0.9696969696969697,0.96875,0.54
14,0.07859611511230469,0.9990196078431373,0.9855072463768116,0.984375,0.48
15,0.09006107598543167,0.9941176470588236,0.9696969696969697,0.96875,0.43000000000000005
16,0.07517179101705551,1.0,1.0,1.0,0.51
17,0.07310047745704651,0.9980392156862745,0.9855072463768116,0.984375,0.4
18,0.06225408613681793,1.0,1.0,1.0,0.42000000000000004
19,0.05370653420686722,1.0,1.0,1.0,0.45999999999999996
20,0.044509157538414,1.0,1.0,1.0,0.31
21,0.0464005284011364,1.0,1.0,1.0,0.43000000000000005
22,0.04046133533120155,1.0,1.0,1.0,0.4
23,0.039372555911540985,1.0,1.0,1.0,0.33
24,0.03636167198419571,1.0,1.0,1.0,0.32
25,0.03619927540421486,1.0,1.0,1.0,0.42000000000000004
26,0.031411636620759964,1.0,1.0,1.0,0.26
