Epoch,Loss,Train_AUC,Train_F1,Train_ACC,Train_THR
1,0.29841598868370056,0.3411764705882353,0.6938775510204082,0.53125,0.1
2,0.22843553125858307,0.6647058823529413,0.72,0.671875,0.48
3,0.20254477858543396,0.8058823529411764,0.7894736842105263,0.75,0.45999999999999996
4,0.204703688621521,0.796078431372549,0.8051948051948052,0.765625,0.49
5,0.19077752530574799,0.8382352941176471,0.8,0.765625,0.52
6,0.1698996126651764,0.9147058823529411,0.8787878787878788,0.875,0.53
7,0.17157462239265442,0.903921568627451,0.8615384615384616,0.859375,0.54
8,0.15717531740665436,0.9225490196078431,0.8695652173913043,0.859375,0.51
9,0.14460761845111847,0.9588235294117646,0.8923076923076924,0.890625,0.56
10,0.13804903626441956,0.9647058823529412,0.9014084507042254,0.890625,0.53
11,0.1223084032535553,0.9892156862745098,0.9538461538461539,0.953125,0.55
12,0.1035715863108635,0.9892156862745098,0.9714285714285714,0.96875,0.54
13,0.09843302518129349,0.9970588235294118,0.9855072463768116,0.984375,0.5700000000000001
14,0.09905952960252762,0.9921568627450981,0.9577464788732394,0.953125,0.47
15,0.08952188491821289,1.0,1.0,1.0,0.51
16,0.08066582679748535,1.0,1.0,1.0,0.56
17,0.07833082973957062,0.9990196078431373,0.9850746268656716,0.984375,0.47
18,0.06809037178754807,1.0,1.0,1.0,0.5
19,0.06857118755578995,1.0,1.0,1.0,0.45999999999999996
20,0.061116769909858704,1.0,1.0,1.0,0.48
21,0.0545196495950222,1.0,1.0,1.0,0.45999999999999996
22,0.05531764030456543,1.0,1.0,1.0,0.47
23,0.05251555144786835,1.0,1.0,1.0,0.47
24,0.04325959458947182,1.0,1.0,1.0,0.37
25,0.04022683948278427,1.0,1.0,1.0,0.37
