Epoch,Loss,Accuracy,F1,AUC
1,0.22855637967586517,0.5432098765432098,0.6991869918699187,0.4528763769889841
2,0.21334035694599152,0.5308641975308642,0.6935483870967742,0.5403916768665851
3,0.208712637424469,0.5925925925925926,0.7079646017699115,0.5250917992656059
4,0.21738319098949432,0.5308641975308642,0.6935483870967742,0.5318237454100367
5,0.16699738800525665,0.6419753086419753,0.7339449541284404,0.7190942472460221
6,0.1771790236234665,0.6172839506172839,0.7207207207207207,0.7013463892288861
7,0.16758601367473602,0.6666666666666666,0.7522935779816514,0.686046511627907
8,0.14796066284179688,0.6790123456790124,0.7592592592592593,0.7753977968176253
9,0.14446474611759186,0.7037037037037037,0.7735849056603774,0.791921664626683
10,0.13898855447769165,0.7160493827160493,0.7766990291262136,0.8004895960832313
11,0.1389778107404709,0.7283950617283951,0.7755102040816326,0.8035495716034271
12,0.13161325454711914,0.8148148148148148,0.8235294117647058,0.8494492044063648
13,0.12580133974552155,0.7654320987654321,0.8080808080808081,0.861689106487148
14,0.12980389595031738,0.7407407407407407,0.8037383177570093,0.8623011015911872
15,0.10571268945932388,0.9012345679012346,0.8974358974358975,0.9430844553243574
16,0.10171160101890564,0.8765432098765432,0.8809523809523809,0.9351285189718482
17,0.1065492182970047,0.8641975308641975,0.8842105263157894,0.9241126070991431
18,0.11774120479822159,0.8271604938271605,0.8444444444444444,0.868421052631579
19,0.08882449567317963,0.9259259259259259,0.9333333333333333,0.9687882496940025
20,0.09916450083255768,0.8641975308641975,0.8817204301075269,0.9436964504283966
21,0.10476353764533997,0.8888888888888888,0.898876404494382,0.9283965728274173
22,0.09674017131328583,0.9382716049382716,0.9438202247191011,0.9528763769889841
23,0.09919267892837524,0.8888888888888888,0.896551724137931,0.945532435740514
24,0.09809865057468414,0.8888888888888888,0.8941176470588236,0.9412484700122399
25,0.08051885664463043,0.9135802469135802,0.9195402298850575,0.9675642594859242
26,0.0784788578748703,0.9629629629629629,0.9662921348314607,0.9736842105263157
27,0.08535648137331009,0.9135802469135802,0.9156626506024096,0.9620563035495715
28,0.08464231342077255,0.9506172839506173,0.9555555555555556,0.9645042839657283
29,0.08012781292200089,0.8888888888888888,0.9032258064516129,0.9645042839657282
30,0.07659734040498734,0.9259259259259259,0.9333333333333333,0.966952264381885
31,0.08618204295635223,0.9135802469135802,0.9195402298850575,0.960220318237454
32,0.07487329840660095,0.9135802469135802,0.9195402298850575,0.974296205630355
33,0.06474099308252335,0.9382716049382716,0.9425287356321839,0.9853121175030599
34,0.06302934885025024,0.9629629629629629,0.963855421686747,0.9908200734394125
35,0.08340056240558624,0.8888888888888888,0.896551724137931,0.9583843329253365
36,0.0752817913889885,0.9259259259259259,0.9318181818181818,0.97796817625459
37,0.07020848244428635,0.9506172839506173,0.9523809523809523,0.9877600979192167
38,0.0645260363817215,0.9629629629629629,0.9647058823529412,0.9847001223990208
39,0.06901980936527252,0.9506172839506173,0.9523809523809523,0.9914320685434516
40,0.06786639243364334,0.9753086419753086,0.9772727272727273,0.9957160342717258
41,0.070261649787426,0.9259259259259259,0.9333333333333333,0.9847001223990208
42,0.07088465988636017,0.9382716049382716,0.9411764705882353,0.98531211750306
43,0.06798198819160461,0.9259259259259259,0.9333333333333333,0.982252141982864
44,0.05626240000128746,0.9629629629629629,0.9662921348314607,0.9895960832313341
45,0.05919962003827095,0.9506172839506173,0.9545454545454546,0.9908200734394125
46,0.06692531704902649,0.9382716049382716,0.9425287356321839,0.9791921664626684
47,0.05312090739607811,0.9876543209876543,0.9885057471264368,0.9951040391676866
48,0.05823082476854324,0.9629629629629629,0.9662921348314607,0.9871481028151774
49,0.05414298549294472,0.9876543209876543,0.9885057471264368,1.0
50,0.047643981873989105,1.0,1.0,1.0
51,0.047725189477205276,0.9753086419753086,0.9761904761904762,0.9969400244798041
52,0.0452733151614666,0.9876543209876543,0.9885057471264368,1.0
53,0.0473555326461792,0.9876543209876543,0.9885057471264368,0.9993880048959609
54,0.05374550074338913,0.9753086419753086,0.9772727272727273,0.9987760097919217
55,0.04489973559975624,0.9753086419753086,0.9767441860465116,0.9969400244798041
56,0.04681551456451416,0.9876543209876543,0.9885057471264368,0.9975520195838433
57,0.04255673289299011,1.0,1.0,1.0
58,0.0413643904030323,0.9876543209876543,0.9885057471264368,0.9993880048959609
59,0.03988885134458542,1.0,1.0,1.0
60,0.046691007912158966,0.9876543209876543,0.9885057471264368,0.9987760097919217
61,0.043681979179382324,0.9876543209876543,0.9885057471264368,0.9981640146878825
62,0.04359510540962219,0.9876543209876543,0.9882352941176471,0.9993880048959609
63,0.03297799080610275,1.0,1.0,1.0
64,0.042904146015644073,0.9629629629629629,0.9662921348314607,0.9957160342717258
65,0.037267714738845825,1.0,1.0,1.0
66,0.031525980681180954,1.0,1.0,1.0
67,0.03747924044728279,1.0,1.0,1.0
68,0.037122804671525955,0.9876543209876543,0.9882352941176471,0.9987760097919217
69,0.029480259865522385,1.0,1.0,1.0
70,0.03419836238026619,0.9876543209876543,0.9885057471264368,0.9993880048959609
71,0.03035275638103485,1.0,1.0,1.0
72,0.03449225425720215,1.0,1.0,1.0
73,0.030531279742717743,0.9876543209876543,0.9885057471264368,0.9993880048959609
74,0.03315217047929764,0.9876543209876543,0.9885057471264368,0.9993880048959609
75,0.02508111298084259,1.0,1.0,1.0
76,0.03238522633910179,1.0,1.0,1.0
77,0.02762877196073532,1.0,1.0,1.0
78,0.024857573211193085,1.0,1.0,1.0
79,0.024402232840657234,1.0,1.0,1.0
80,0.027410468086600304,1.0,1.0,1.0
81,0.026852354407310486,1.0,1.0,1.0
82,0.028485769405961037,1.0,1.0,1.0
83,0.02333667315542698,1.0,1.0,1.0
84,0.0236606914550066,1.0,1.0,1.0
85,0.026524273678660393,1.0,1.0,1.0
86,0.02443620376288891,1.0,1.0,1.0
87,0.023670339956879616,1.0,1.0,1.0
88,0.020343756303191185,1.0,1.0,1.0
89,0.02439408004283905,1.0,1.0,1.0
90,0.020193660631775856,1.0,1.0,1.0
91,0.025045020505785942,1.0,1.0,1.0
92,0.020600451156497,1.0,1.0,1.0
93,0.021672453731298447,1.0,1.0,1.0
94,0.0221992339938879,1.0,1.0,1.0
95,0.01936587691307068,1.0,1.0,1.0
96,0.021040383726358414,1.0,1.0,1.0
97,0.023769361898303032,1.0,1.0,1.0
98,0.022137753665447235,1.0,1.0,1.0
99,0.01777082309126854,1.0,1.0,1.0
100,0.022326117381453514,1.0,1.0,1.0
101,0.021576926112174988,1.0,1.0,1.0
102,0.01904580555856228,1.0,1.0,1.0
103,0.01803794503211975,1.0,1.0,1.0
104,0.02107962593436241,1.0,1.0,1.0
105,0.01879003643989563,1.0,1.0,1.0
106,0.023014269769191742,0.9876543209876543,0.9885057471264368,1.0
107,0.017977075651288033,1.0,1.0,1.0
108,0.02163294330239296,1.0,1.0,1.0
109,0.01761963777244091,1.0,1.0,1.0
110,0.017606385052204132,1.0,1.0,1.0
111,0.016469335183501244,1.0,1.0,1.0
112,0.016587916761636734,1.0,1.0,1.0
