Epoch,Loss,Train_AUC,Train_F1,Train_ACC,Train_THR
1,0.28591179847717285,0.4264705882352941,0.6938775510204082,0.53125,0.1
2,0.2247079610824585,0.7333333333333334,0.7397260273972602,0.703125,0.4
3,0.17673660814762115,0.8941176470588236,0.8529411764705882,0.84375,0.44000000000000006
4,0.16946806013584137,0.8813725490196078,0.8192771084337349,0.765625,0.33
5,0.1682838797569275,0.9127450980392157,0.8615384615384616,0.859375,0.48
6,0.15501171350479126,0.9549019607843138,0.9428571428571428,0.9375,0.47
7,0.1518222838640213,0.9441176470588235,0.9117647058823529,0.90625,0.48
8,0.13459190726280212,0.9480392156862745,0.8923076923076924,0.890625,0.53
9,0.11497549712657928,0.9764705882352942,0.9315068493150684,0.921875,0.44000000000000006
10,0.11174377799034119,0.9784313725490197,0.9393939393939394,0.9375,0.56
11,0.09671135246753693,0.9950980392156863,0.9850746268656716,0.984375,0.55
12,0.09416166692972183,0.9990196078431373,0.9855072463768116,0.984375,0.45000000000000007
13,0.08493516594171524,0.996078431372549,0.9705882352941176,0.96875,0.49
14,0.08288098126649857,0.9980392156862745,0.9855072463768116,0.984375,0.45000000000000007
15,0.07556834816932678,1.0,1.0,1.0,0.45999999999999996
16,0.07287127524614334,0.9950980392156863,0.9714285714285714,0.96875,0.42000000000000004
17,0.06767190992832184,0.9990196078431373,0.9855072463768116,0.984375,0.38
18,0.05522087961435318,1.0,1.0,1.0,0.47
19,0.05791371315717697,1.0,1.0,1.0,0.45999999999999996
20,0.04393047094345093,1.0,1.0,1.0,0.4
21,0.04581479728221893,1.0,1.0,1.0,0.41000000000000003
22,0.041265375912189484,1.0,1.0,1.0,0.45000000000000007
23,0.03790455311536789,1.0,1.0,1.0,0.37
24,0.03232647851109505,1.0,1.0,1.0,0.32
25,0.030837710946798325,1.0,1.0,1.0,0.37
