Epoch,Loss,Train_AUC,Train_F1,Train_ACC,Train_THR
1,0.25294768810272217,0.5049019607843137,0.7157894736842105,0.578125,0.42000000000000004
2,0.22072426974773407,0.7254901960784313,0.7472527472527473,0.640625,0.43000000000000005
3,0.20788542926311493,0.7794117647058824,0.7816091954022989,0.703125,0.47
4,0.18017742037773132,0.8813725490196078,0.8648648648648649,0.84375,0.52
5,0.16441719233989716,0.9411764705882353,0.9014084507042254,0.890625,0.5700000000000001
6,0.16257643699645996,0.9450980392156864,0.8947368421052632,0.875,0.48
7,0.1543843299150467,0.9627450980392157,0.9142857142857143,0.90625,0.5
8,0.14309722185134888,0.9549019607843138,0.927536231884058,0.921875,0.53
9,0.13332344591617584,0.9539215686274509,0.9565217391304348,0.953125,0.54
10,0.13433225452899933,0.9637254901960784,0.8955223880597015,0.890625,0.52
11,0.11098406463861465,0.9990196078431373,0.9850746268656716,0.984375,0.55
12,0.11513018608093262,0.9892156862745098,0.9552238805970149,0.953125,0.53
13,0.09729689359664917,0.9931372549019608,0.9565217391304348,0.953125,0.54
14,0.0998886302113533,0.9931372549019607,0.9850746268656716,0.984375,0.51
15,0.09319043904542923,0.992156862745098,0.9705882352941176,0.96875,0.53
16,0.08427093923091888,1.0,0.9855072463768116,0.984375,0.51
17,0.07299785315990448,0.9970588235294118,0.9850746268656716,0.984375,0.52
18,0.06940075010061264,1.0,1.0,1.0,0.54
19,0.06504674255847931,1.0,1.0,1.0,0.43000000000000005
20,0.057352397590875626,0.9990196078431373,0.9855072463768116,0.984375,0.38
21,0.056551530957221985,1.0,1.0,1.0,0.45000000000000007
22,0.049300067126750946,1.0,1.0,1.0,0.39
23,0.044696010649204254,1.0,1.0,1.0,0.41000000000000003
24,0.052466895431280136,1.0,1.0,1.0,0.45000000000000007
25,0.04327305778861046,1.0,1.0,1.0,0.38
26,0.04545513913035393,1.0,1.0,1.0,0.42000000000000004
27,0.039297617971897125,1.0,1.0,1.0,0.35
28,0.03494618460536003,1.0,1.0,1.0,0.33
