Epoch,Loss,Train_AUC,Train_F1,Train_ACC,Train_THR
1,0.23157024383544922,0.6637254901960785,0.6938775510204082,0.53125,0.1
2,0.2321263700723648,0.6450980392156863,0.7272727272727273,0.625,0.39
3,0.19274097681045532,0.8431372549019608,0.8051948051948052,0.765625,0.45000000000000007
4,0.1689251959323883,0.9254901960784314,0.8985507246376812,0.890625,0.52
5,0.16746439039707184,0.9333333333333333,0.9142857142857143,0.90625,0.51
6,0.1410210132598877,0.9823529411764705,0.9411764705882353,0.9375,0.54
7,0.1245482936501503,0.9950980392156863,0.9705882352941176,0.96875,0.51
8,0.12593631446361542,0.9774509803921569,0.9142857142857143,0.90625,0.49
9,0.10397256165742874,1.0,0.9855072463768116,0.984375,0.53
10,0.1151423454284668,0.9901960784313726,0.9552238805970149,0.953125,0.56
11,0.10185005515813828,0.9990196078431373,0.9855072463768116,0.984375,0.5
12,0.0943555235862732,1.0,1.0,1.0,0.5
13,0.0837765783071518,1.0,1.0,1.0,0.47
14,0.07721097767353058,1.0,1.0,1.0,0.58
15,0.06388542801141739,1.0,1.0,1.0,0.44000000000000006
16,0.07246963679790497,1.0,1.0,1.0,0.48
17,0.06339353322982788,1.0,1.0,1.0,0.42000000000000004
18,0.05272945389151573,1.0,1.0,1.0,0.56
19,0.0520077645778656,1.0,1.0,1.0,0.53
20,0.04322206228971481,1.0,1.0,1.0,0.39
21,0.049124330282211304,1.0,1.0,1.0,0.45000000000000007
22,0.03740192577242851,1.0,1.0,1.0,0.37
