Epoch,Loss,Train_AUC
1,0.20124465227127075,0.43719806763285024
2,0.14247576892375946,0.8081435472739821
3,0.12718228995800018,0.831608005521049
4,0.0821152850985527,0.9475500345065563
5,0.07017893344163895,0.9720496894409938
6,0.047024328261613846,0.9944789510006902
7,0.032133400440216064,1.0
8,0.03604883328080177,0.9955141476880608
9,0.02014913223683834,1.0
10,0.016067108139395714,0.9996549344375432
11,0.01174925733357668,1.0
12,0.005764032248407602,1.0
13,0.005940446630120277,1.0
14,0.0066359625197947025,1.0
15,0.004400556907057762,1.0
16,0.00285229436121881,1.0
17,0.005955264903604984,1.0
18,0.0027549404185265303,1.0
19,0.0025120070204138756,1.0
20,0.0013124950928613544,1.0
21,0.001266595209017396,1.0
22,0.0014146009925752878,1.0
23,0.0032192773651331663,1.0
24,0.0013482931535691023,1.0
25,0.00086138368351385,1.0
26,0.0007430604891851544,1.0
27,0.0009873769013211131,1.0
28,0.0009071531239897013,1.0
29,0.000685886770952493,1.0
30,0.0006505349301733077,1.0
31,0.0005530436174012721,1.0
32,0.0005772301810793579,1.0
33,0.0005046852747909725,1.0
34,0.0006303866975940764,1.0
35,0.0005915716756135225,1.0
36,0.0005859849625267088,1.0
37,0.0006857009720988572,1.0
