Epoch,Loss,Train_AUC,Train_F1,Train_ACC,Train_THR
1,0.2513888478279114,0.557843137254902,0.6938775510204082,0.53125,0.1
2,0.239625483751297,0.5764705882352941,0.7126436781609196,0.609375,0.47
3,0.18878541886806488,0.857843137254902,0.8266666666666667,0.796875,0.49
4,0.18529045581817627,0.8392156862745098,0.7792207792207793,0.734375,0.5
5,0.16977907717227936,0.8970588235294117,0.835820895522388,0.828125,0.5
6,0.15864193439483643,0.9235294117647058,0.8918918918918919,0.875,0.48
7,0.15683911740779877,0.930392156862745,0.868421052631579,0.84375,0.45000000000000007
8,0.13584551215171814,0.965686274509804,0.9090909090909091,0.90625,0.5700000000000001
9,0.11789067089557648,0.9911764705882353,0.9705882352941176,0.96875,0.55
10,0.11839080601930618,0.9823529411764707,0.9714285714285714,0.96875,0.52
11,0.10823382437229156,0.996078431372549,0.9714285714285714,0.96875,0.54
12,0.09995335340499878,0.9931372549019608,0.9577464788732394,0.953125,0.5
13,0.107512928545475,0.9715686274509804,0.9315068493150684,0.921875,0.47
14,0.08702367544174194,1.0,1.0,1.0,0.5
15,0.07116478681564331,1.0,1.0,1.0,0.48
16,0.07424338161945343,0.9980392156862745,0.9850746268656716,0.984375,0.62
17,0.0643216073513031,1.0,1.0,1.0,0.53
18,0.05844084918498993,1.0,1.0,1.0,0.42000000000000004
19,0.054400451481342316,1.0,1.0,1.0,0.47
20,0.054672688245773315,1.0,1.0,1.0,0.43000000000000005
21,0.04766716808080673,1.0,1.0,1.0,0.45000000000000007
22,0.04689762741327286,1.0,1.0,1.0,0.45999999999999996
23,0.04194970056414604,1.0,1.0,1.0,0.37
24,0.04110536351799965,1.0,1.0,1.0,0.6
