Epoch,Loss,Train_AUC,Train_F1,Train_ACC,Train_THR
1,0.30502185225486755,0.5088235294117647,0.7021276595744681,0.5625,0.21000000000000002
2,0.26343876123428345,0.7303921568627451,0.7333333333333333,0.625,0.22
3,0.2365841418504715,0.7960784313725491,0.8,0.734375,0.24000000000000002
4,0.18927854299545288,0.926470588235294,0.8767123287671232,0.859375,0.32
5,0.17228549718856812,0.9627450980392156,0.9041095890410958,0.890625,0.36
6,0.16463319957256317,0.9490196078431372,0.927536231884058,0.921875,0.4
7,0.1645941585302353,0.9401960784313725,0.9014084507042254,0.890625,0.36
8,0.13032251596450806,0.9823529411764705,0.9393939393939394,0.9375,0.45000000000000007
9,0.11604249477386475,0.9882352941176471,0.9577464788732394,0.953125,0.37
10,0.11507238447666168,0.9931372549019608,0.9577464788732394,0.953125,0.37
11,0.10687287151813507,0.9950980392156863,0.9850746268656716,0.984375,0.51
12,0.09631858766078949,0.9990196078431373,0.9855072463768116,0.984375,0.48
13,0.09599209576845169,0.9774509803921568,0.9855072463768116,0.984375,0.51
14,0.0938582569360733,0.9921568627450981,0.9714285714285714,0.96875,0.45000000000000007
15,0.0734449177980423,0.9990196078431373,0.9855072463768116,0.984375,0.48
16,0.0704585611820221,0.9950980392156863,0.9714285714285714,0.96875,0.37
17,0.07220681756734848,0.9941176470588236,0.9855072463768116,0.984375,0.37
18,0.06453706324100494,1.0,1.0,1.0,0.49
19,0.06692411005496979,1.0,1.0,1.0,0.47
20,0.05317425727844238,1.0,1.0,1.0,0.45000000000000007
21,0.05270928144454956,1.0,1.0,1.0,0.45999999999999996
22,0.05654477700591087,1.0,1.0,1.0,0.45999999999999996
23,0.04095659404993057,1.0,1.0,1.0,0.33999999999999997
24,0.041197001934051514,1.0,1.0,1.0,0.28
25,0.04057640582323074,1.0,1.0,1.0,0.33999999999999997
26,0.04097490757703781,1.0,1.0,1.0,0.39
27,0.035361602902412415,1.0,1.0,1.0,0.31
28,0.035593390464782715,1.0,1.0,1.0,0.39
