Epoch,Loss,Train_AUC,Train_F1,Train_ACC,Train_THR
1,0.2600625455379486,0.5450980392156863,0.7083333333333334,0.5625,0.27
2,0.231899693608284,0.7009803921568627,0.723404255319149,0.59375,0.26
3,0.20972198247909546,0.7931372549019609,0.7857142857142857,0.71875,0.36
4,0.19561100006103516,0.8225490196078431,0.8266666666666667,0.796875,0.4
5,0.15854455530643463,0.9490196078431373,0.8767123287671232,0.859375,0.43000000000000005
6,0.1656298041343689,0.9166666666666666,0.8656716417910447,0.859375,0.47
7,0.13497294485569,0.9911764705882353,0.9577464788732394,0.953125,0.45999999999999996
8,0.13065265119075775,0.9833333333333334,0.9577464788732394,0.953125,0.45000000000000007
9,0.11575032770633698,0.9901960784313726,0.9565217391304348,0.953125,0.42000000000000004
10,0.11303506791591644,0.9911764705882353,0.9705882352941176,0.96875,0.5
11,0.09978777170181274,0.996078431372549,0.9705882352941176,0.96875,0.52
12,0.09541811048984528,0.9990196078431373,0.9855072463768116,0.984375,0.5
13,0.08794313669204712,0.9990196078431373,0.9855072463768116,0.984375,0.49
14,0.08063419908285141,0.9931372549019607,0.9850746268656716,0.984375,0.55
15,0.08093051612377167,1.0,1.0,1.0,0.5700000000000001
16,0.06708978861570358,1.0,1.0,1.0,0.51
17,0.06529374420642853,0.9970588235294118,0.9714285714285714,0.96875,0.41000000000000003
18,0.05760959908366203,1.0,1.0,1.0,0.41000000000000003
19,0.06415340304374695,0.9990196078431373,0.9855072463768116,0.984375,0.42000000000000004
20,0.05860183387994766,0.9990196078431373,0.9855072463768116,0.984375,0.39
21,0.0484033077955246,1.0,0.9855072463768116,0.984375,0.33999999999999997
22,0.04970195144414902,1.0,1.0,1.0,0.45999999999999996
23,0.03742150962352753,1.0,1.0,1.0,0.24000000000000002
24,0.04018263891339302,1.0,1.0,1.0,0.31
25,0.032945893704891205,1.0,1.0,1.0,0.35
