Epoch,Loss,Train_AUC,Train_F1,Train_ACC,Train_THR
1,0.2618749141693115,0.4725490196078431,0.7010309278350515,0.546875,0.24000000000000002
2,0.23379366099834442,0.6696078431372549,0.6987951807228916,0.609375,0.45000000000000007
3,0.21190932393074036,0.75,0.7435897435897436,0.6875,0.47
4,0.18684667348861694,0.8637254901960785,0.8333333333333334,0.8125,0.48
5,0.16326993703842163,0.9401960784313725,0.9117647058823529,0.90625,0.53
6,0.15010522305965424,0.969607843137255,0.9142857142857143,0.90625,0.45000000000000007
7,0.1588166505098343,0.9156862745098039,0.8648648648648649,0.84375,0.47
8,0.12389204651117325,0.9911764705882353,0.9444444444444444,0.9375,0.44000000000000006
9,0.11981120705604553,0.9637254901960784,0.9428571428571428,0.9375,0.45000000000000007
10,0.1055339053273201,0.9970588235294118,0.9714285714285714,0.96875,0.48
11,0.09836706519126892,0.9882352941176471,0.9565217391304348,0.953125,0.45000000000000007
12,0.09029768407344818,0.9970588235294118,0.9850746268656716,0.984375,0.45000000000000007
13,0.08193360269069672,0.9980392156862745,0.9855072463768116,0.984375,0.49
14,0.08158297091722488,0.9931372549019608,0.9714285714285714,0.96875,0.47
15,0.07225384563207626,1.0,1.0,1.0,0.42000000000000004
16,0.05561649426817894,1.0,1.0,1.0,0.56
17,0.05450412631034851,1.0,1.0,1.0,0.37
18,0.055669642984867096,1.0,1.0,1.0,0.44000000000000006
19,0.04351817071437836,1.0,1.0,1.0,0.30000000000000004
20,0.043181873857975006,1.0,1.0,1.0,0.39
21,0.0412595197558403,1.0,1.0,1.0,0.43000000000000005
22,0.03941549360752106,1.0,1.0,1.0,0.48
23,0.033261094242334366,1.0,1.0,1.0,0.42000000000000004
24,0.031475190073251724,1.0,1.0,1.0,0.39
25,0.026074243709445,1.0,1.0,1.0,0.25
